"Os dados da coluna desta planilha não abrangem todos os anos, sendo necessário obter 
de alguns anos por interpolação, pois o IBGE não forneceu informações completas. Portanto, esses dados 
devem ser utilizados exclusivamente para fins deste desafio.
",,,,,,,
Ano,População Estimada,PIB Estimado (R$ em Bilhões),Renda per capita,Interporlação (Renda per capita),,,
2010,6.574.789,"R$52,10","R$ 660,00","R$ 660,00",,,
2011,6.651.000,"R$52,20","R$ 665,00","R$ 665,00",,,
2012,6.727.000,"R$58,80","R$ 682,00","R$ 682,00",,,
2013,6.803.000,"R$68,50","R$ 680,00","R$ 680,00",,,
2014,6.850.884,"R$76,84","R$ 690,00","R$ 690,00",,,
2015,6.904.241,"R$78,48",#N/A,"R$ 692,00",,,
2016,6.954.036,"R$85,31","R$ 694,00","R$ 694,00",,,
2017,7.001.161,"R$89,54",#N/A,"R$ 701,50",,,
2018,7.045.055,"R$98,18","R$ 709,00","R$ 709,00",,,
2019,7.087.262,"R$97,34","R$ 754,00","R$ 754,00",,,
2020,7.130.000,"R$106,92","R$ 814,00","R$ 814,00",,,
2021,7.153.262,"R$124,98",#N/A,"R$ 814,00",,,
2022,6.775.152,"R$130,00","R$ 814,00","R$ 814,00",,,
2023,6.776.699,"R$135,00","R$ 969,00","R$ 969,00",,,
2024,7.010.960,"R$140,00","R$ 969,00","R$ 969,00",,,
,,,,,,,
,,,,,,,
,ANÁLISE DE DADOS,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Ano,População Estimada,PIB Estimado (R$ em Bilhões),(Renda per capita),Média Móvel 3 Anos População estimada,Média Móvel 3 Anos PIB,Média Móvel 3 Anos Renda pecapita
,2010,6.574.789,"R$52,10","R$ 660,00",,,
,2011,6.651.000,"R$52,20","R$ 665,00","R$ 6.650.929,67","R$54,37","R$ 669,00"
,2012,6.727.000,"R$58,80","R$ 682,00","R$ 6.727.000,00","R$59,83","R$ 675,67"
,2013,6.803.000,"R$68,50","R$ 680,00","R$ 6.793.628,00","R$68,05","R$ 684,00"
,2014,6.850.884,"R$76,84","R$ 690,00","R$ 6.852.708,33","R$74,61","R$ 687,33"
,2015,6.904.241,"R$78,48","R$ 692,00","R$ 6.903.053,67","R$80,21","R$ 692,00"
,2016,6.954.036,"R$85,31","R$ 694,00","R$ 6.953.146,00","R$84,44","R$ 695,83"
,2017,7.001.161,"R$89,54","R$ 701,50","R$ 7.000.084,00","R$91,01","R$ 701,50"
,2018,7.045.055,"R$98,18","R$ 709,00","R$ 7.044.492,67","R$95,02","R$ 721,50"
,2019,7.087.262,"R$97,34","R$ 754,00","R$ 7.087.439,00","R$100,81","R$ 759,00"
,2020,7.130.000,"R$106,92","R$ 814,00","R$ 7.123.508,00","R$109,75","R$ 794,00"
,2021,7.153.262,"R$124,98","R$ 814,00","R$ 7.019.471,33","R$120,63","R$ 814,00"
,2022,6.775.152,"R$130,00","R$ 814,00","R$ 6.901.704,33","R$129,99","R$ 865,67"
,2023,6.776.699,"R$135,00","R$ 969,00","R$ 6.854.270,33","R$135,00","R$ 917,33"
,2024,7.010.960,"R$140,00","R$ 969,00",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Ano,População Estimada,PIB Estimado (R$ em Bilhões),(Renda per capita),Média Móvel 7 anos População estimada,Média Móvel 7 anos PIB,Média Móvel 7 anos Renda pecapita
,2010,6.574.789,"R$52,10","R$ 660,00",,,
,2011,6.651.000,"R$52,20","R$ 665,00",,,
,2012,6.727.000,"R$58,80","R$ 682,00",,,
,2013,6.803.000,"R$68,50","R$ 680,00","6.780.707,14","R$67,46","R$ 680,43"
,2014,6.850.884,"R$76,84","R$ 690,00","6.841.617,43","R$72,81","R$ 686,36"
,2015,6.904.241,"R$78,48","R$ 692,00","6.897.911,00","R$79,38","R$ 692,64"
,2016,6.954.036,"R$85,31","R$ 694,00","6.949.377,00","R$84,88","R$ 702,93"
,2017,7.001.161,"R$89,54","R$ 701,50","6.996.091,29","R$90,37","R$ 722,07"
,2018,7.045.055,"R$98,18","R$ 709,00","7.039.288,14","R$97,25","R$ 739,79"
,2019,7.087.262,"R$97,34","R$ 754,00","7.020.846,86","R$104,61","R$ 757,21"
,2020,7.130.000,"R$106,92","R$ 814,00","6.995.513,00","R$111,71","R$ 796,50"
,2021,7.153.262,"R$124,98","R$ 814,00","6.996.912,86","R$118,92","R$ 834,71"
,2022,6.775.152,"R$130,00","R$ 814,00",,,
,2023,6.776.699,"R$135,00","R$ 969,00",,,
,2024,7.010.960,"R$140,00","R$ 969,00",,,
