"Os dados da coluna desta planilha não abrangem todos os anos, sendo necessário obter 
de alguns anos por interpolação, pois o IBGE não forneceu informações completas. Portanto, esses dados 
devem ser utilizados exclusivamente para fins deste desafio.
",,,,,
Ano,População Estimada,PIB Estimado (R$ em Bilhões),Renda per capita,Interporlação (Renda per capita),
2010,6.574.789,"R$52,10","R$ 660,00","R$ 660,00",
2011,6.651.000,"R$52,20","R$ 665,00","R$ 665,00",
2012,6.727.000,"R$58,80","R$ 682,00","R$ 682,00",
2013,6.803.000,"R$68,50","R$ 680,00","R$ 680,00",
2014,6.850.884,"R$76,84","R$ 690,00","R$ 690,00",
2015,6.904.241,"R$78,48",#N/A,"R$ 692,00",
2016,6.954.036,"R$85,31","R$ 694,00","R$ 694,00",
2017,7.001.161,"R$89,54",#N/A,"R$ 701,50",
2018,7.045.055,"R$98,18","R$ 709,00","R$ 709,00",
2019,7.087.262,"R$97,34","R$ 754,00","R$ 754,00",
2020,7.130.000,"R$106,92","R$ 814,00","R$ 814,00",
2021,7.153.262,"R$124,98",#N/A,"R$ 814,00",
2022,6.775.152,"R$130,00","R$ 814,00","R$ 814,00",
2023,6.776.699,"R$135,00","R$ 969,00","R$ 969,00",
2024,7.010.960,"R$140,00","R$ 969,00","R$ 969,00",
,,,,,
,,,,,
,,,,,
,,,,,
,ANÁLISE DE DADOS,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Ano,População Estimada,PIB Estimado (R$ em Bilhões),(Renda per capita),
,2010,6.574.789,"R$52,10","R$ 660,00",
,2011,6.651.000,"R$52,20","R$ 665,00",
,2012,6.727.000,"R$58,80","R$ 682,00",
,2013,6.803.000,"R$68,50","R$ 680,00",
,2014,6.850.884,"R$76,84","R$ 690,00",
,2015,6.904.241,"R$78,48","R$ 692,00",
,2016,6.954.036,"R$85,31","R$ 694,00",
,2017,7.001.161,"R$89,54","R$ 701,50",
,2018,7.045.055,"R$98,18","R$ 709,00",
,2019,7.087.262,"R$97,34","R$ 754,00",
,2020,7.130.000,"R$106,92","R$ 814,00",
,2021,7.153.262,"R$124,98","R$ 814,00",
,2022,6.775.152,"R$130,00","R$ 814,00",
,2023,6.776.699,"R$135,00","R$ 969,00",
,2024,7.010.960,"R$140,00","R$ 969,00",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,VARIÂNCIA E DESVIO PADRÃO POPULAÇÃO ESTIMADA,,,,
,Ano,População Estimada,,,
,2010,6.574.789,"R$ 6.896.300,07",-321.511,"103.369.365.989,14"
,2011,6.651.000,"R$ 6.896.300,07",-245.300,"60.172.122.706,67"
,2012,6.727.000,"R$ 6.896.300,07",-169.300,"28.662.512.573,34"
,2013,6.803.000,"R$ 6.896.300,07",-93.300,"8.704.902.440,00"
,2014,6.850.884,"R$ 6.896.300,07",-45.416,"2.062.619.111,47"
,2015,6.904.241,"R$ 6.896.300,07",7.941,"63.058.422,20"
,2016,6.954.036,"R$ 6.896.300,07",57.736,"3.333.437.997,87"
,2017,7.001.161,"R$ 6.896.300,07",104.861,"10.995.815.339,54"
,2018,7.045.055,"R$ 6.896.300,07",148.755,"22.128.030.191,00"
,2019,7.087.262,"R$ 6.896.300,07",190.962,"36.466.459.982,40"
,2020,7.130.000,"R$ 6.896.300,07",233.700,"54.615.658.840,00"
,2021,7.153.262,"R$ 6.896.300,07",256.962,"66.029.435.182,40"
,2022,6.775.152,"R$ 6.896.300,07",-121.148,"14.676.854.057,07"
,2023,6.776.699,"R$ 6.896.300,07",-119.601,"14.304.415.147,80"
,2024,7.010.960,"R$ 6.896.300,07",114.660,"13.146.900.312,00"
,VARIÂNCIA  AMOSTRAL,,,,"31.337.970.592,35"
,DESVIO PADRÃO ,,,,"177.025,34"
,,,,,
,,,,,Função Estimativa amostral:
,,,,,"31.337.970.592,35"
,,,,,"177.025,34"
,,,,,
,VARIÂNCIA E DESVIO PADRÃO PIB,,,,
,Ano,PIB Estimado (R$ em Bilhões),,,
,2010,"R$52,10","R$ 92,95","-R$40,85","1.668,40"
,2011,"R$52,20","R$ 92,95","-R$40,75","1.660,24"
,2012,"R$58,80","R$ 92,95","-R$34,15","1.165,95"
,2013,"R$68,50","R$ 92,95","-R$24,45","597,61"
,2014,"R$76,84","R$ 92,95","-R$16,11","259,40"
,2015,"R$78,48","R$ 92,95","-R$14,47","209,27"
,2016,"R$85,31","R$ 92,95","-R$7,64","58,31"
,2017,"R$89,54","R$ 92,95","-R$3,41","11,60"
,2018,"R$98,18","R$ 92,95","R$5,23","27,39"
,2019,"R$97,34","R$ 92,95","R$4,39","19,31"
,2020,"R$106,92","R$ 92,95","R$13,97","195,27"
,2021,"R$124,98","R$ 92,95","R$32,03","1.026,18"
,2022,"R$130,00","R$ 92,95","R$37,05","1.373,00"
,2023,"R$135,00","R$ 92,95","R$42,05","1.768,54"
,2024,"R$140,00","R$ 92,95","R$47,05","2.214,08"
,VARIÂNCIA  AMOSTRAL,,,,"875,32"
,DESVIO PADRÃO ,,,,"29,59"
,,,,,
,,,,,Função Estimativa amostral:
,,,,,"875,32"
,,,,,"29,59"
,,,,,
,VARIÂNCIA E DESVIO PADRÃO RENDA PERCAPITA,,,,
,Ano,(Renda per capita),,,
,2010,"R$ 660,00","R$ 753,83","-R$ 93,83","8.804,69"
,2011,"R$ 665,00","R$ 753,83","-R$ 88,83","7.891,36"
,2012,"R$ 682,00","R$ 753,83","-R$ 71,83","5.160,03"
,2013,"R$ 680,00","R$ 753,83","-R$ 73,83","5.451,36"
,2014,"R$ 690,00","R$ 753,83","-R$ 63,83","4.074,69"
,2015,"R$ 692,00","R$ 753,83","-R$ 61,83","3.823,36"
,2016,"R$ 694,00","R$ 753,83","-R$ 59,83","3.580,03"
,2017,"R$ 701,50","R$ 753,83","-R$ 52,33","2.738,78"
,2018,"R$ 709,00","R$ 753,83","-R$ 44,83","2.010,03"
,2019,"R$ 754,00","R$ 753,83","R$ 0,17","0,03"
,2020,"R$ 814,00","R$ 753,83","R$ 60,17","3.620,03"
